acte;nb_sejsea;nb_actes;dms_globale;nb_sej_0_nuit;nb_acte_ambu
ABSA0080;114;120;15;.;.
ABSA0090;81;81;19,4;.;.
ABSA0110;74;74;14,5;.;.
ABSA0120;335;343;8;.;.
ACFA0010;577;579;9,3;.;.
ACFA0020;1176;1193;8,4;.;.
ACFA0030;12;12;8,1;.;.
ACFA0040;38;38;17,6;.;.
ACFA0050;53;54;13,3;.;.
ACFA0060;16;17;7,3;.;.
ACFA0070;228;242;9,5;.;.
ACFA0080;62;62;7,8;.;.
ACFA0090;18;18;11,8;.;.
ACFA0100;587;624;10,3;.;.
ACFA0110;330;332;9,8;.;.
ACFA0120;11;11;6,2;.;.
ACFA0130;497;498;9,4;.;.
ACFA0140;13;15;20,8;.;.
ACFA0150;96;97;14;.;.
ACFA0160;61;64;13,8;.;.
ACFA0180;121;123;10,3;.;.
ACFA0190;33;33;30,6;.;.
ACFA0200;89;90;9,6;.;.
ACFA0220;415;420;11;.;.
ACFA0240;33;33;7,9;.;.
ACFA0260;72;72;12,8;.;.
ACFA0270;15;15;5,9;.;.
ACFA0280;539;544;10,3;.;.
ACHA0010;59;60;6,1;.;.
ACHA0020;771;781;11,5;.;.
ACHA0030;94;95;4;42;42
ACHB0010;2500;2540;9,4;65;65
ACHH0010;21;21;9,3;.;.
ACHJ0010;105;109;10,2;.;.
ACPA0010;468;474;5,3;.;.
ACQC0010;52;52;6,2;.;.
ACQH0010;1067;1101;11,6;188;188
ACQH0020;9878;10019;13,7;1405;1410
ACQH0030;120561;125579;11,4;16656;16744
ACQH0040;16569;16963;10,5;3099;3121
ACQJ0010;17715;18097;8,6;3176;3189
ACQJ0020;140737;148736;11,6;31056;31271
ACQK0010;623552;719530;9,2;88673;89553
ACQK0030;1679;1730;5,9;85;85
ACQL0010;850;854;13,8;172;172
ACQL0020;1587;1605;10,8;300;300
ACQL0040;23;25;3,9;.;.
ACQL0070;251;251;8;82;82
ACQL0080;18;19;3,7;13;13
ACQN0010;195291;203111;9,9;42548;42768
ACQN0020;1717;1743;5,1;681;681
ACQN0030;1468;1497;4,9;83;83
ACQN0040;8426;8667;11,6;1875;1886
ACQP0020;18736;19366;8,7;718;719
ADCA0020;34;36;3;.;.
ADCA0040;213;217;0,3;182;184
ADCA0050;56;65;4,3;.;.
ADEA0010;12;12;6,9;.;.
ADEA0020;14;14;4,4;.;.
ADGA0010;100;100;2,3;35;35
ADKA0010;297;299;1,2;143;144
ADLA0010;310;312;2,1;47;47
ADLA1870;25;25;1,2;.;.
ADLB0010;480;489;1,4;160;165
ADLH0020;21;21;1;19;19
ADNB0010;29;29;1,3;16;16
ADNH0020;545;562;1,7;158;165
ADPA0010;57;57;7,5;.;.
ADPA0040;3438;3558;0;3363;3480
ADPA0080;35;35;9,5;.;.
ADPA0100;17;17;6,9;.;.
ADPA0110;15;15;5,3;.;.
ADPA0150;41;41;0,1;38;38
ADPA0160;28;28;1,9;.;.
ADPA0200;27;27;5,4;.;.
ADPA0230;49;50;5,5;.;.
ADPA0240;13;13;17,8;.;.
ADPC0010;18;18;12,7;.;.
ADQB0020;13;13;3,5;.;.
ADQP0020;18;18;0,4;17;17
ADQP0030;1055;1100;2,5;537;574
ADQP0070;335;342;11,4;207;211
ADQP0140;351;376;12,2;36;36
AEFA0010;68;70;17;.;.
AEFA0020;199;204;13,4;.;.
AEFA0030;54;54;9,2;.;.
AEGA0010;445;449;2;187;189
AEGB0010;414;423;1,2;214;216
AEJA0030;13;13;14;.;.
AEJA0040;28;28;15,3;.;.
AEKA0010;1062;1067;0,8;574;578
AELA0010;677;682;3;44;44
AELA0020;1493;1507;1,9;478;484
AELB0010;341;344;1,9;49;49
AELB0020;1193;1248;1,6;215;217
AEMP4910;732;825;1,1;457;461
AENA0010;49;49;10,1;.;.
AEPA0010;277;280;7;.;.
AEQH0010;372;408;3,7;201;204
AEQH0020;133;144;1,8;104;104
AEQM0010;2718;2769;14,3;34;34
AFCA0010;54;54;13;.;.
AFCA0020;99;121;25,7;.;.
AFCA0030;30;31;11,2;.;.
AFCA0040;394;982;31,4;.;.
AFFA0010;42;43;10,4;.;.
AFFA0020;63;63;9,7;.;.
AFFA0030;195;205;9,9;.;.
AFFA0040;164;165;5,2;.;.
AFFA0050;181;186;16;.;.
AFFA0060;37;37;6,2;.;.
AFFA0070;855;869;8,4;.;.
AFFA0080;23;23;7,3;.;.
AFFA0100;664;672;9,6;20;20
AFFA0110;11;11;11,2;.;.
AFGA0010;1662;1671;4,6;275;275
AFGA0020;28;32;20,9;.;.
AFHB0010;154;160;9,1;40;40
AFHB0020;44796;48292;7,1;18368;18583
AFJA0010;278;290;13,7;.;.
AFJA0020;317;335;17,9;.;.
AFJA0030;26;26;27,7;.;.
AFJA0040;1088;1121;12,4;.;.
AFJA0050;56;56;20;.;.
AFJB0020;1891;2263;5,7;872;875
AFKB0010;405;408;3,8;57;57
AFKB0020;511;514;4;.;.
AFLA0030;647;651;10,5;43;43
AFLB0010;4911;5420;4,2;945;959
AFLB0030;5805;6758;6,8;3104;3104
AFLB0040;972;997;2,2;698;708
AFLB0060;2347;2403;3,5;1276;1280
AFLB0070;12924;19652;4,7;4177;4212
AFLB0080;6653;6870;8,3;244;244
AFLB0100;410526;412644;4,4;635;639
AFLB0130;174;202;2,7;126;126
AFLB0160;879;902;0,7;824;824
AFLB0170;11970;16512;5,7;3989;4001
AFLH0010;4568;5012;2,4;3269;3417
AFLH0020;391;412;4,3;185;187
AFPA0010;2082;2232;17,2;15;16
AFQH0010;487;490;1;398;400
AFQH0020;461;472;1,9;256;256
AFQH0030;437;487;4,6;220;233
AFSA0010;44;44;19,6;.;.
AFSA0020;29;32;10,5;.;.
AFSA0030;731;781;11,9;.;.
AGLB0010;13950;21975;5,9;3736;4091
AGMA0010;1447;1485;11,8;.;.
AGMP0010;97;100;0;97;100
AGQC0010;48;49;14,9;.;.
AGQP0040;1162;1190;8,3;.;.
AGQP0050;660;667;8,1;.;.
AGQP0060;394;396;5,2;52;53
AHCA0010;34;35;2,8;.;.
AHCA0020;245;252;0,8;188;194
AHCA0030;170;170;1,4;81;81
AHCA0050;34;34;2;22;22
AHCA0060;53;54;2;34;34
AHCA0070;38;38;2,3;.;.
AHCA0080;84;84;1,9;46;46
AHCA0090;231;231;2;153;153
AHCA0100;26;28;6,6;.;.
AHCA0110;38;38;6;.;.
AHCA0120;497;498;0,8;323;323
AHCA0130;146;147;0,6;110;110
AHCA0140;11;11;8,7;.;.
AHCA0150;6617;6678;0,1;6163;6211
AHCA0160;496;500;0,8;354;356
AHCA0170;21;21;2,9;.;.
AHCA0180;767;775;0,9;547;549
AHCA0200;85;85;3;.;.
AHCA0210;33;34;6,1;.;.
AHCA0220;77;78;4,6;20;20
AHCA0230;6527;6597;0,2;5874;5933
AHEA0040;140;142;0,9;110;110
AHEA0070;14;16;0,7;.;.
AHEA0080;49;49;3;30;30
AHEA0090;26;26;3,3;.;.
AHEA0110;40;40;0,9;27;27
AHEA0140;43;43;4,4;21;21
AHEA0150;57;66;1,7;23;25
AHEA0160;501;505;0,2;465;468
AHEA0180;52;52;2,6;.;.
AHFA0010;371;380;0,6;294;300
AHFA0020;58;61;0,8;40;43
AHFA0030;90;90;8,4;.;.
AHFA0040;664;683;0,7;516;530
AHFA0070;70;73;8,2;.;.
AHFA0080;67;68;2,7;19;19
AHFA0090;37;38;2,1;.;.
AHFA0100;91;91;4,9;.;.
AHFA0120;43;44;7,4;.;.
AHGA8120;223;224;0,9;154;155
AHGB8010;339;343;0,5;261;265
AHHA0010;80;80;3,5;43;43
AHHA0020;324;331;6,2;138;139
AHHB0010;22;29;2,6;18;25
AHLA0030;1442;1451;0,3;1181;1190
AHLA8040;274;276;0,3;233;235
AHLB0010;4963;5004;1;3187;3205
AHLB0020;728;799;1,2;574;642
AHLB0030;972;1018;0,8;875;906
AHLB0040;14016;14159;0,4;11056;11105
AHLB0050;6956;7113;1;5281;5371
AHLB0060;1493;1521;0,4;1391;1406
AHLB0070;6718;6786;1,2;5136;5177
AHLB0080;791;793;1,3;564;565
AHLB0090;15688;16449;3,6;6098;6492
AHLB0100;2239;2323;1,2;1572;1649
AHLB0110;826;1936;7,8;27;27
AHLB0120;8462;8925;1,9;5420;5784
AHLB0130;377;382;4,9;168;169
AHLB0140;2164;2229;3,3;964;969
AHLB0150;36480;37256;1,5;24170;24339
AHLB0160;5575;5581;0,5;4620;4621
AHLB0170;2170;2336;2,2;1365;1476
AHLB0180;1477;1483;0,3;1173;1175
AHLH0010;141;148;3,7;52;52
AHLH0020;56;61;3,9;23;25
AHLH0030;283;285;4,7;81;81
AHLH0040;138;171;2;86;93
AHLH0060;300;313;5,1;153;157
AHLH0070;2077;2248;4,4;960;1005
AHLH0080;45;46;0,2;42;43
AHLH0090;638;659;4,4;289;290
AHLH0100;112;116;0,3;85;89
AHLH0110;369;517;0,3;348;492
AHLH0120;1082;1499;1,2;808;1028
AHLH0130;16;16;1,3;13;13
AHLH0140;1258;1349;1,5;1021;1107
AHLH0150;270;349;2,4;208;279
AHLH0170;264;264;0,9;248;248
AHLH0180;927;1004;2;484;495
AHLH0190;24;27;10,2;11;11
AHLH0200;19;19;4,6;15;15
AHNB0010;822;992;0,5;741;867
AHNB0020;489;496;0,3;421;428
AHNH0010;4748;4775;0,1;4591;4614
AHNH0020;118;119;0,1;107;108
AHPA0010;6044;6087;0,4;5114;5144
AHPA0020;356;403;3,2;65;65
AHPA0030;36;39;0,4;28;30
AHPA0040;194;194;2,5;36;36
AHPA0050;189;189;3,3;.;.
AHPA0060;546;547;1,4;281;281
AHPA0070;530;576;0,7;347;355
AHPA0080;306;311;1,7;186;189
AHPA0090;104111;104351;0,1;100625;100830
AHPA0100;755;765;2,2;458;464
AHPA0110;5093;5370;0,1;4853;5123
AHPA0120;782;785;0,5;611;611
AHPA0130;519;520;0,3;460;461
AHPA0140;1449;1457;0,5;1048;1051
AHPA0150;709;751;1;426;437
AHPA0160;2184;2188;2,4;421;421
AHPA0170;6738;6778;4,3;848;851
AHPA0180;74;76;0,5;59;60
AHPA0190;197;214;0,6;170;187
AHPA0200;1686;1688;1,1;1081;1081
AHPA0210;3553;3560;0,2;3309;3316
AHPA0220;20407;20478;0,4;18189;18240
AHPA0230;2883;2887;0,4;2567;2571
AHPA0240;6070;6079;0,1;5857;5864
AHPA0250;81;81;5,9;.;.
AHPA0260;1135;1137;0,4;938;940
AHPA0270;1651;1657;3,4;678;678
AHPA0280;38804;39467;0,1;37358;37981
AHPC0010;67601;67708;0;66297;66402
AHQB0010;489;540;39,7;24;24
AHQB0020;23;24;0,2;21;22
AHQB0060;729;732;2,3;60;60
AHQB0080;62;65;3,4;44;44
AHQB0130;5400;5477;10,3;1427;1431
AHQB0150;525;526;1,9;125;125
AHQB0240;10013;10318;10,8;2814;2893
AHQB0250;9919;10017;1,8;1934;1968
AHQB0260;6005;6085;2,8;1066;1069
AHQB0270;2849;2876;8,1;942;945
AHQB0280;24;24;6,6;.;.
AHQB0320;3533;3612;11;1137;1154
AHQB0330;5529;5632;8,2;1020;1023
AHQD0020;58;59;0,2;54;55
AHQE0020;401;405;1,7;49;49
AHQJ0210;985767;1007795;1,1;737724;748958
AHQP0010;786;799;3,8;235;239
AHQP0020;1481;1579;1,2;327;380
AHQP0030;2081;2123;10,9;741;745
AHQP0040;5783;7078;3,2;3610;4268
AHQP0060;12625;12684;1,8;1317;1325
AHQP0070;92;94;9;73;75
AHQP0080;6147;6346;9,8;2032;2108
AHQP0090;9251;9489;11;2667;2689
AHQP0100;2495;2525;12;643;645
AHQP0110;7063;7256;11,6;2192;2255
AHQP0120;11781;12047;10,5;3614;3639
AHQP0130;19;19;43,6;.;.
AHQP0160;1043;1064;10;203;210
AHRP0010;3053;3120;8,9;1288;1309
AJFA0010;90;91;12,6;.;.
AJFA0020;19;19;0,5;16;16
AJFA0030;13;14;4,8;.;.
AJFC0010;30;35;9,7;.;.
AJFC0020;361;494;2,9;86;102
AJLB0010;64;65;0,1;58;59
AJLB0020;754;754;0,2;737;737
AJLF0010;4411;4418;0;4408;4415
AJLH0010;294;662;0,2;281;630
AJLH0020;33;33;1,2;15;15
AJLH0030;24;24;2,6;20;20
AJLH0040;14;14;1,9;.;.
AJLH0070;65;72;20,6;.;.
AJLH0090;257;257;0,2;249;249
AJLH0160;21;21;2,3;13;13
AJLH0170;64;65;8,4;16;16
AJLH0190;19;19;1,8;14;14
AJLH0200;17;17;10;14;14
AJLJ0020;41;41;5,2;18;18
AJLJ0030;13;13;6,2;.;.
AJNF8000;50;52;1,5;.;.
AJNH0040;55;57;7,8;.;.
AJNH0070;20;20;8,1;.;.
AJNH0080;89;89;12,6;20;20
AJNH0090;17;17;5,7;.;.
AJNJ0010;27;29;9,7;12;12
AJQP0010;5537;5673;0,6;5061;5183
ALQP0010;848;904;7,2;637;641
ALQP0020;3038;3082;0,3;2831;2863
ALQP0030;87827;90339;2,1;53910;55164
ALQP0040;4422;4641;0,3;4130;4341
ALQP0050;8004;8203;2;6489;6643
ALQP0060;70284;79716;2,9;53307;54720
AMQP0090;27034;28560;1,6;4897;4972
AMQP0100;3333;3338;1,4;37;37
AMQP0110;1771;1817;3;179;179
AMQP0120;54544;57250;1,3;382;383
AMQP0130;68705;74987;1,2;851;855
AMQP0140;15783;17722;1,4;1014;1041
AMQP0150;37259;53651;1,5;207;208
ANLB0030;1107;1320;1,3;843;847
ANLB0040;2350;2449;4,5;691;692
ANLP0020;6979;7195;2,3;5429;5439
ANMP0010;73945;109916;7;14401;14446
ANQP0040;1578;1689;12,8;532;571
ANQP0050;259;268;1,1;197;204
ANQP0060;1781;1797;4,3;1017;1024
ANRP0010;9876;10391;4,4;6202;6259
AZGA0010;450;456;3,9;174;176
AZNL0010;2192;2268;0,2;2172;2172
AZQP0010;641;715;1,3;179;180
AZQP0020;5316;5776;11;11;13
AZQX0050;12555;13549;10,2;96;97
AZRP0010;25127;25717;0,2;24953;25089
BAAA0010;81;81;0,5;57;57
BAAA0020;284;304;0,1;263;281
BABA0010;8543;9851;0;8327;9595
BACA0010;80;81;3,7;23;24
BACA0020;723;742;2,7;284;287
BACA0030;749;759;2,6;462;466
BACA0040;77;79;1,3;62;63
BACA0050;373;382;1,9;161;162
BACA0060;142;142;2,4;57;57
BACA0070;145;146;1,8;71;71
BACA0080;1828;1857;2,7;709;719
BADA0010;88;88;1,4;62;62
BADA0020;42;43;0,6;29;30
BADA0030;2039;2108;0,4;1776;1820
BADA0040;410;454;0,2;358;392
BADA0050;17;20;2,2;.;.
BADA0060;114;115;0,3;99;100
BADA0070;106;107;0,5;82;83
BAEA0010;7250;7723;0,1;6981;7438
BAEA0020;8327;9039;0,1;7946;8608
BAEA0030;20;20;1,8;.;.
BAFA0010;803;815;0;776;788
BAFA0020;3121;3167;0,2;2778;2818
BAFA0030;183;183;0,3;157;157
BAFA0040;2133;2400;0;2077;2336
BAFA0050;2386;2867;0;2345;2819
BAFA0060;8007;8237;0,1;7595;7817
BAFA0070;1781;1799;0,1;1698;1716
BAFA0080;16016;16094;0,1;14813;14885
BAFA0090;3206;3241;0,2;2675;2708
BAFA0100;160;161;0,2;147;148
BAFA0110;2079;2082;0,2;1731;1734
BAFA0120;315;318;0,2;291;294
BAFA0130;1809;1974;0,2;1782;1943
BAFA0140;2928;2992;0,2;2671;2734
BAFA0150;2148;2177;0;2091;2120
BAFA0160;43;43;0,2;36;36
BAFA0170;618;622;0,1;544;547
BAFA0180;94;96;0,8;71;73
BAFA0190;639;642;0,1;616;618
BAGA0010;100;106;1;79;79
BAHA0010;348;365;0,6;324;341
BALA0010;146;148;0,7;120;121
BALB0010;7609;7713;0,1;7564;7667
BAMA0010;81;81;0,9;53;53
BAMA0020;142;147;0,3;120;125
BAMA0030;61;63;0,2;54;56
BAMA0040;6852;7115;0,2;6438;6694
BAMA0050;16;16;0,1;15;15
BAMA0070;15;16;0;15;16
BAMA0080;115;116;0,7;81;81
BAMA0090;2786;2859;0,2;2646;2716
BAMA0100;1156;1160;0,3;975;978
BAMA0110;20;20;0,7;14;14
BAMA0120;478;493;0,1;448;461
BAMA0130;1449;1473;0,3;1178;1201
BAMA0150;79;79;0,3;64;64
BAMA0160;215;221;0,3;175;181
BAMA0170;6117;6208;0;5987;6064
BAMA0180;60;61;0,3;46;47
BAMA0190;215;215;0,8;159;159
BAMA0200;136;137;0,9;102;102
BANP0010;41;54;1,2;38;48
BANP0030;19;26;0;19;26
BANP0040;101;114;0,1;98;111
BAPA0010;98;98;0,1;91;91
BAPA0020;827;869;0,3;772;812
BAPA0030;1065;1077;0;1046;1057
BAPA0040;134;136;1,4;93;95
BAPA0050;111;119;0,3;80;85
BAQP0010;92;92;0,4;91;91
BBCA0010;159;166;0,3;108;111
BBCA0030;2317;2347;0,6;1075;1091
BBCE0010;1287;1364;0,4;941;988
BBFA0020;1418;1610;0;1391;1580
BBFA0030;44;44;0,6;28;28
BBFA0040;16;17;5,5;.;.
BBGA0010;65;66;0,5;58;59
BBHA0010;112;113;1;84;85
BBHA0020;36;36;0,5;18;18
BBJD0010;1048;1567;0,8;899;1406
BBLD0010;1449;1504;0,4;1063;1108
BBLD0020;456;548;0,3;444;535
BBLD0030;1684;1797;0,2;1518;1619
BBLD0040;1135;1158;0,1;1046;1066
BBMA0020;87;89;0,8;63;64
BBMA0030;2322;2689;0,2;2013;2370
BBMA0040;215;218;1;96;99
BBPA0010;70;74;0,4;57;61
BBPA0020;344;387;0;337;380
BBPA0030;46;48;1,8;19;19
BBQH0010;15;15;0,7;.;.
BBQP0010;4373;4724;6,4;2015;2057
BCBP0010;180;187;3;109;109
BCCA0010;1072;1208;0,8;850;949
BCFA0030;6145;6189;0;6070;6113
BCFA0040;509;512;0,3;448;451
BCFA0050;619;624;0;608;613
BCFA0060;264;266;0;259;261
BCFA0070;1470;1474;0;1459;1463
BCFA0080;1961;2008;0,2;1830;1873
BCFA0090;1625;1635;0;1607;1617
BCHA0010;150;151;0,6;132;132
BCLA0010;702;705;0,1;672;674
BCLB0010;28060;28731;0,4;24945;25072
BCMA0010;235;240;0,6;200;204
BCNP0010;98;101;0,8;83;86
BCPA0010;425;437;0,2;391;403
BCPA0020;59;59;2,5;42;42
BCPA0030;31;31;0,1;29;29
BCPA0040;58;59;3,3;47;47
BCPA0050;196;197;1,1;156;157
BDCA0010;529;539;1,9;188;188
BDCA0020;124;124;2;48;48
BDCA0030;188;188;1;136;136
BDCA0040;947;964;1,2;541;548
BDCB0010;31;31;1,9;28;28
BDFA0010;21;21;12,3;14;14
BDFA0020;589;594;0,2;525;530
BDFA0030;115;115;0,2;108;108
BDFA0060;3910;4009;10,4;368;373
BDFA0070;635;650;5,7;66;75
BDFP0010;283;353;0,1;270;340
BDFP0020;294;299;0,1;292;297
BDFP0030;520;729;0;515;724
BDGA0020;238;241;1,2;211;214
BDGA0040;439;444;0,2;409;413
BDGA0050;830;832;0,3;728;730
BDGP0020;380;398;1,4;300;310
BDGP0030;105;113;2,1;70;70
BDHA0010;33;35;4,4;19;20
BDHP0010;778;808;6,6;19;19
BDJP0010;86;338;5,1;14;14
BDLA0050;407;407;0,1;404;404
BDMA0010;34;34;0,5;21;21
BDMA0020;4330;4350;1,3;630;630
BDMA0030;530;532;1,1;177;177
BDMA0060;7269;7443;1;5992;6043
BDMA0080;1903;1910;1,6;361;361
BDMA9000;20;21;0,8;.;.
BDMP0020;1047;1057;0,8;718;719
BDNP0010;243;245;0,4;225;227
BDNP0020;339;344;0,4;293;297
BDNP0030;21;21;0;21;21
BDPA0010;40;40;0,1;38;38
BDQP0010;80;88;11;26;26
BDQP0020;972;1026;1,5;657;667
BDQP0030;3236;3555;7;1548;1577
BDQP0040;73;75;5,7;32;32
BDRP0270;1151;1157;0;1145;1151
BEEA0010;148;149;0;142;142
BEEA0020;331;331;0,2;293;293
BEFA0010;36;36;1,9;27;27
BEFA0030;26;26;0;26;26
BEFA0070;333;335;0,5;273;273
BEFA0080;7198;7231;0,3;5959;5982
BEGA0020;55;55;3,1;41;41
BEGA0030;64;64;1,6;27;27
BEGA0040;406;409;0,6;373;375
BEHB0010;2172;2425;4,2;1005;1012
BEJB0010;1520;1531;0,6;1308;1315
BEJB0020;548;553;1,2;365;366
BEJB0040;4058;4067;0,3;3248;3253
BELA0020;1368;1626;0;1348;1603
BELA4730;13;13;0,5;.;.
BELB0010;12463;12562;0,2;10903;10952
BEMA0020;6717;6719;0;6517;6518
BEMA0080;2585;2610;0,2;2341;2364
BEMP0010;11;12;0,4;.;.
BENA0010;37;37;0,6;25;25
BENA0020;2826;2927;0,3;2505;2593
BENP0010;269;420;0,7;243;390
BEPA0010;6252;6255;0;5925;5926
BEPA0020;54;54;0,1;48;48
BEPA0030;335;338;0,4;276;277
BEPA0040;2297;2308;0,5;1563;1569
BEPB0010;1071;1072;0;1025;1026
BEPP0010;61;65;0,7;51;51
BEPP0020;285;394;2,2;124;188
BEQP0020;24;25;2,6;18;18
BEQP0040;1899;2803;4;927;975
BEQP0070;172;173;9,9;119;119
BEQP9000;165;192;7,6;44;44
BFEA0010;3370;3388;0,2;2737;2746
BFGA0010;715;719;0,5;558;561
BFGA0020;2086;2092;0,1;1972;1976
BFGA0030;355;360;0,4;294;296
BFGA0050;1082;1085;0,2;919;921
BFGA0060;413;413;0,4;354;354
BFGA0070;176;177;0,3;141;142
BFGA0080;1763;1771;0,4;1455;1458
BFGA0090;171;171;0,3;144;144
BFGA0100;289;289;0,7;209;209
BFGA3680;19517;19594;0;19012;19086
BFGA4270;1091817;1093108;0;1066218;1067334
BFKA0010;1902;1904;0,2;1676;1676
BFLA0010;3727;3742;0,3;3016;3027
BFLA0020;692;693;0;666;667
BFLA0030;1997;1998;0,3;1619;1620
BFLA0040;265;266;0,3;216;217
BFLA9000;72;72;0;72;72
BFPA0020;5094;5097;0;4849;4851
BFPP0010;602;647;2,7;515;548
BFQM0010;2708;2780;2,4;1976;2006
BGBA0010;111;111;0,2;97;97
BGBA0020;60;60;0,7;42;42
BGCA0020;336;343;2,5;66;66
BGDA0010;582;582;0,9;238;238
BGDA0020;700;704;0,6;544;546
BGDA0030;130;130;0,6;77;77
BGDA0040;134;134;0,2;107;107
BGDA0050;241;242;0,3;176;176
BGDA0060;117;117;1;37;37
BGDA0080;774;776;0,2;681;683
BGFA0010;7324;7357;0,7;5952;5966
BGFA0020;32;32;0,1;28;28
BGFA0030;68;73;2,7;47;50
BGFA0040;19;19;0,2;16;16
BGFA0050;5275;5285;0,2;4664;4668
BGFA0060;693;693;0,6;561;561
BGFA0080;1819;1830;0,3;1596;1605
BGFA0090;1600;1601;0,3;1335;1335
BGFA0100;3155;3163;0,3;2571;2576
BGFA0110;2362;2365;0,4;1954;1954
BGFA0120;21;21;1,4;17;17
BGFA0140;3659;3669;0,1;3266;3274
BGFA9000;39;39;0,3;27;27
BGGA0010;31;31;1,6;12;12
BGGA0020;601;602;0,3;494;494
BGGA0030;254;257;0,5;222;225
BGGA0040;442;442;0,4;368;368
BGGA0050;3313;3319;0,2;2846;2852
BGHA0010;40;40;0,8;14;14
BGHB0010;90;91;4,6;35;35
BGHB0020;17;17;0,5;14;14
BGHB0030;39;40;3,8;24;24
BGJA0020;1521;1521;0,1;1375;1375
BGJB0010;126;127;1,4;81;81
BGLA0010;12;12;0,4;.;.
BGLA0020;510;510;0,7;316;316
BGLB0010;27015;29627;1,5;22965;23770
BGLB0020;816;822;0,4;664;668
BGLP0010;28;32;9;15;17
BGMA0010;1901;1902;0,6;1319;1319
BGMA0020;34555;34643;0,3;27773;27814
BGMA0030;69;69;0,5;45;45
BGMA9000;26;26;0,8;13;13
BGMA9010;24;24;0,9;17;17
BGNP0010;95;108;7,9;46;48
BGNP0020;799;813;0,2;700;709
BGNP0030;565;630;5;341;355
BGNP0040;314;349;4,5;207;220
BGNP0050;116;145;21,7;25;30
BGNP0060;36;36;0,2;33;33
BGNP0080;252;267;5,5;143;149
BGPA0010;2873;2875;0,1;2596;2598
